frame,kp_0_x,kp_0_y,kp_1_x,kp_1_y,kp_2_x,kp_2_y,kp_3_x,kp_3_y,kp_4_x,kp_4_y,kp_5_x,kp_5_y,kp_6_x,kp_6_y,kp_7_x,kp_7_y,kp_8_x,kp_8_y,kp_9_x,kp_9_y,kp_10_x,kp_10_y,kp_11_x,kp_11_y,kp_12_x,kp_12_y,kp_13_x,kp_13_y,kp_14_x,kp_14_y,kp_15_x,kp_15_y,kp_16_x,kp_16_y
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.35546875,263.4013366699219,1174.358154296875,275.34906005859375,1189.153076171875,276.7001647949219,0.0,0.0,1194.11669921875,294.55291748046875,0.0,0.0,1197.8433837890625,306.360595703125,1174.9678955078125,309.3218994140625,1184.79296875,309.98724365234375,1176.423583984375,334.0550842285156,1186.6201171875,334.4360656738281,0.0,0.0,1183.538330078125,350.53594970703125
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.4727783203125,263.5163269042969,1177.2332763671875,275.24188232421875,1190.665283203125,276.6902160644531,1178.4560546875,291.14862060546875,1195.4041748046875,294.31195068359375,0.0,0.0,1198.65185546875,306.97137451171875,1176.9088134765625,308.0538024902344,1186.21875,308.6284484863281,1177.3468017578125,330.8053894042969,1188.2496337890625,331.1325378417969,1175.6162109375,345.92431640625,1185.830078125,346.9425354003906
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.0506591796875,262.8849182128906,1176.08740234375,275.58709716796875,1190.2984619140625,276.1773376464844,0.0,0.0,1194.934814453125,293.76519775390625,0.0,0.0,1198.17333984375,304.6442565917969,1175.5693359375,306.96832275390625,1185.856201171875,307.2440185546875,1177.492919921875,330.2020263671875,1190.765380859375,329.7730712890625,1175.111328125,346.25103759765625,1190.7371826171875,347.7400817871094
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.2381591796875,262.2620849609375,1176.481689453125,274.4522399902344,1189.13330078125,275.2543029785156,0.0,0.0,1194.739501953125,292.40899658203125,0.0,0.0,1197.939697265625,304.7743835449219,1176.2474365234375,307.10321044921875,1185.0784912109375,307.4580993652344,1177.092529296875,330.32257080078125,1188.30419921875,330.43609619140625,1175.1688232421875,345.782958984375,1186.9801025390625,346.46337890625
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.1727294921875,263.1105041503906,1176.551513671875,275.0311279296875,1190.809814453125,275.6678771972656,0.0,0.0,1195.9427490234375,291.9104919433594,0.0,0.0,1199.054931640625,303.73095703125,1177.9010009765625,305.9992370605469,1187.616943359375,306.33953857421875,1179.0086669921875,328.51629638671875,1190.4478759765625,328.587646484375,1176.396484375,345.6624755859375,1188.0848388671875,346.3326110839844
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.1424560546875,263.37164306640625,1176.3736572265625,275.25042724609375,1191.07373046875,275.8045959472656,0.0,0.0,1196.256591796875,291.82861328125,0.0,0.0,1199.34033203125,303.4761047363281,1177.8653564453125,306.0120849609375,1187.8741455078125,306.2906188964844,1178.947509765625,328.4358825683594,1190.507080078125,328.449951171875,1176.28955078125,345.6746826171875,1188.0384521484375,346.2759094238281
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.1700439453125,263.22222900390625,1176.52880859375,275.1556396484375,1191.070556640625,275.74481201171875,0.0,0.0,1196.279052734375,291.89794921875,0.0,0.0,1199.3497314453125,303.65869140625,1177.8056640625,306.1221008300781,1187.6246337890625,306.3884582519531,1178.947021484375,328.7700500488281,1189.87890625,328.7866516113281,1176.4273681640625,345.8946228027344,1187.1488037109375,346.47943115234375
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.2572021484375,263.4722595214844,1176.35595703125,275.2832946777344,1190.9720458984375,275.91241455078125,0.0,0.0,1196.1424560546875,291.97265625,0.0,0.0,1199.296875,303.59259033203125,1177.7337646484375,306.04425048828125,1187.61572265625,306.3587341308594,1179.007568359375,328.5225830078125,1189.9896240234375,328.5690612792969,1176.435791015625,345.7044372558594,1187.266357421875,346.3652038574219
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.844482421875,274.3597106933594,1193.3773193359375,274.67437744140625,0.0,0.0,1198.825439453125,291.57275390625,0.0,0.0,0.0,0.0,1179.8470458984375,307.0249938964844,1189.657470703125,307.0104675292969,1180.5301513671875,330.8800048828125,1190.75537109375,330.7415466308594,1179.759765625,346.8680725097656,1189.384033203125,346.8722229003906
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.4288330078125,274.674072265625,1193.4097900390625,274.9350280761719,0.0,0.0,1198.9091796875,291.8287048339844,0.0,0.0,0.0,0.0,1179.859375,307.5519104003906,1190.0777587890625,307.5570373535156,1180.562744140625,331.679443359375,1191.8551025390625,331.5340270996094,1179.6986083984375,347.6402587890625,1190.874267578125,347.6642150878906
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.4395751953125,274.7362060546875,1193.4774169921875,274.9615478515625,0.0,0.0,1198.97216796875,291.8299255371094,0.0,0.0,0.0,0.0,1179.8961181640625,307.5739440917969,1190.174560546875,307.5613098144531,1180.4412841796875,331.6752014160156,1191.976806640625,331.5187072753906,1179.5439453125,347.65789794921875,1191.086669921875,347.6553649902344
19,0.0,0.0,0.0,0.0,0.0,0.0,1187.8997802734375,257.9476318359375,0.0,0.0,1186.9847412109375,270.7227478027344,1201.2587890625,271.7694396972656,1186.0172119140625,289.8368835449219,1205.3883056640625,291.7479248046875,0.0,0.0,0.0,0.0,1186.631103515625,306.249267578125,1197.146240234375,306.3597106933594,1182.7086181640625,332.7290954589844,1196.3123779296875,333.1353759765625,0.0,0.0,1196.1390380859375,350.0898132324219
20,0.0,0.0,0.0,0.0,0.0,0.0,1187.4267578125,258.4352722167969,0.0,0.0,1186.5128173828125,271.03802490234375,1200.682373046875,272.0095520019531,1185.473388671875,289.77197265625,1204.7984619140625,291.6698913574219,0.0,0.0,0.0,0.0,1186.4132080078125,305.8349914550781,1196.8372802734375,305.93902587890625,1182.82763671875,331.7528381347656,1196.277587890625,332.1184997558594,1180.1558837890625,347.88531494140625,1196.1956787109375,349.3095397949219
21,0.0,0.0,0.0,0.0,0.0,0.0,1189.3995361328125,258.21063232421875,0.0,0.0,1190.23046875,271.3577880859375,1198.352783203125,272.6868896484375,1194.7120361328125,289.4031982421875,0.0,0.0,1201.00732421875,307.6415710449219,0.0,0.0,1187.6689453125,308.1872253417969,1194.158935546875,308.555908203125,1184.29638671875,335.68670654296875,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,1189.06201171875,258.5118713378906,0.0,0.0,1189.6927490234375,271.432373046875,1197.4759521484375,272.8266296386719,1194.6956787109375,289.1412048339844,0.0,0.0,1201.370361328125,307.2829895019531,0.0,0.0,1187.21044921875,307.6136474609375,1193.510009765625,308.0348815917969,1184.24267578125,334.3702087402344,1194.4627685546875,335.17169189453125,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,1188.267578125,259.5100402832031,0.0,0.0,1189.1314697265625,272.4068298339844,1198.3515625,273.8327941894531,1193.3525390625,290.203857421875,0.0,0.0,1199.665771484375,308.23236083984375,0.0,0.0,1187.3367919921875,309.1303405761719,1194.60986328125,309.5474853515625,1183.1474609375,337.0037841796875,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195.8218994140625,269.21978759765625,1197.05029296875,268.72698974609375,1202.84033203125,289.4380798339844,0.0,0.0,1206.1044921875,304.0661926269531,0.0,0.0,1193.0084228515625,307.7242431640625,1195.3414306640625,307.11956787109375,1188.4622802734375,333.5400695800781,1196.1539306640625,333.07843017578125,1187.777099609375,349.80682373046875,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196.031494140625,269.27789306640625,1196.6395263671875,268.70989990234375,1203.083740234375,289.5286560058594,0.0,0.0,1206.2425537109375,304.208251953125,0.0,0.0,1193.1824951171875,307.85626220703125,1195.055908203125,307.2087097167969,1188.9774169921875,333.5967712402344,1195.476806640625,333.0953369140625,1188.5845947265625,349.92987060546875,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195.697998046875,269.0796813964844,1197.4757080078125,268.55108642578125,1202.6170654296875,289.44537353515625,0.0,0.0,1205.973876953125,304.0775451660156,0.0,0.0,1192.906005859375,307.8199157714844,1195.602294921875,307.1929626464844,1188.09521484375,333.8126220703125,1196.2969970703125,333.3472595214844,1187.3690185546875,350.1024169921875,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,1193.048828125,254.66250610351562,0.0,0.0,1195.8544921875,269.1940002441406,1197.103759765625,268.635986328125,1202.807373046875,289.5258483886719,0.0,0.0,1206.0196533203125,304.3971862792969,0.0,0.0,1193.0689697265625,307.8658752441406,1195.4053955078125,307.2198486328125,1188.6627197265625,333.76580810546875,1195.8978271484375,333.27606201171875,1188.136962890625,350.1351623535156,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.4638671875,262.3821105957031,1187.0489501953125,274.80328369140625,1201.234619140625,275.14752197265625,0.0,0.0,1204.3653564453125,292.5867614746094,0.0,0.0,1207.2978515625,304.0091857910156,1187.0909423828125,305.0124206542969,1197.590576171875,305.14794921875,1187.1614990234375,327.0247497558594,1201.7313232421875,326.4049072265625,1184.7276611328125,345.0912780761719,1201.88232421875,345.622314453125
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.1875,261.9449462890625,1187.5177001953125,274.6704406738281,1201.3887939453125,275.0542297363281,0.0,0.0,1204.419921875,292.5477600097656,0.0,0.0,1206.9937744140625,304.06854248046875,1187.1397705078125,304.99664306640625,1197.344970703125,305.12158203125,1186.9461669921875,326.95294189453125,1200.97998046875,326.44793701171875,1184.8194580078125,344.90972900390625,1201.277587890625,345.489990234375
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.18603515625,261.9391174316406,1187.5120849609375,274.67120361328125,1201.3927001953125,275.0561218261719,0.0,0.0,1204.42529296875,292.5582580566406,0.0,0.0,1206.989501953125,304.07373046875,1187.1292724609375,304.9991455078125,1197.340576171875,305.1236877441406,1186.92626953125,326.9627380371094,1200.9635009765625,326.4564208984375,1184.7989501953125,344.9075927734375,1201.2657470703125,345.487548828125
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191.67041015625,273.6054992675781,1202.347900390625,274.43902587890625,0.0,0.0,1205.4052734375,291.61956787109375,0.0,0.0,0.0,0.0,1190.4007568359375,305.0006408691406,1198.4208984375,305.28363037109375,1190.343994140625,326.97412109375,1200.183837890625,327.0687561035156,1188.1636962890625,344.8685607910156,1199.6497802734375,345.79931640625
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1192.1103515625,273.6000061035156,1201.9661865234375,274.4049072265625,1192.62060546875,289.2511901855469,1204.90234375,291.52435302734375,0.0,0.0,0.0,0.0,1190.7548828125,304.9558410644531,1198.1654052734375,305.2378234863281,1190.841796875,326.96173095703125,1199.632080078125,327.1075439453125,1188.8406982421875,344.93695068359375,1198.919921875,345.87225341796875
